episode,step,total_queue,avg_latency
15,21,0,8.882352941176471
15,22,0,8.722222222222221
15,23,4,8.631578947368421
15,24,8,9.043478260869565
15,25,8,8.791666666666666
15,26,12,9.076923076923077
15,27,15,9.392857142857142
15,28,17,9.392857142857142
15,29,19,10.033333333333333
15,30,22,10.033333333333333
15,31,23,10.6875
15,32,23,10.636363636363637
15,33,23,11.583333333333334
15,34,24,11.567567567567568
16,0,0,0
16,1,0,0
16,2,0,0
16,3,0,3.0
16,4,0,3.5
16,5,0,3.5
16,6,0,3.5
16,7,0,4.333333333333333
16,8,2,4.0
16,9,2,4.142857142857143
16,10,1,4.444444444444445
16,11,1,4.818181818181818
16,12,0,4.833333333333333
16,13,0,4.833333333333333
16,14,0,5.8
16,15,0,5.8
16,16,0,6.25
16,17,0,6.705882352941177
16,18,0,6.705882352941177
16,19,3,7.166666666666667
16,20,0,7.35
16,21,2,7.761904761904762
16,22,6,7.590909090909091
16,23,4,7.64
16,24,4,7.64
16,25,2,8.344827586206897
16,26,3,8.344827586206897
16,27,10,8.6875
16,28,10,9.121212121212121
16,29,9,9.514285714285714
16,30,9,9.514285714285714
16,31,8,9.444444444444445
16,32,8,10.236842105263158
16,33,8,10.179487179487179
16,34,8,10.525
17,0,0,0
17,1,0,0
17,2,0,2.0
17,3,0,2.5
17,4,0,2.5
17,5,0,2.5
17,6,0,3.0
17,7,0,3.8
17,8,0,3.8
17,9,0,3.8
17,10,0,5.571428571428571
17,11,0,5.571428571428571
17,12,0,6.666666666666667
17,13,0,6.666666666666667
17,14,0,7.2
17,15,0,7.7272727272727275
17,16,0,7.7272727272727275
17,17,2,7.7272727272727275
17,18,4,7.846153846153846
17,19,4,8.5
17,20,0,8.2
17,21,0,9.352941176470589
17,22,2,9.166666666666666
17,23,1,9.0
17,24,1,10.095238095238095
17,25,1,10.0
17,26,2,11.041666666666666
17,27,2,11.0
17,28,4,11.0
17,29,7,11.642857142857142
17,30,8,11.642857142857142
17,31,8,11.866666666666667
17,32,8,12.35483870967742
17,33,9,12.1875
17,34,10,12.030303030303031
18,0,0,0
18,1,0,0
18,2,0,0
18,3,0,3.0
18,4,0,3.5
18,5,0,3.5
18,6,0,3.3333333333333335
18,7,0,3.3333333333333335
18,8,0,4.25
18,9,0,4.25
18,10,0,4.6
18,11,0,4.6
18,12,0,5.666666666666667
18,13,3,5.666666666666667
18,14,7,5.75
18,15,8,5.75
18,16,7,6.4
18,17,7,6.4
18,18,6,6.916666666666667
18,19,5,6.923076923076923
18,20,0,7.714285714285714
18,21,1,7.823529411764706
18,22,4,8.5
18,23,7,7.95
18,24,7,7.761904761904762
18,25,6,9.0
18,26,9,8.961538461538462
18,27,9,8.961538461538462
18,28,8,8.851851851851851
18,29,14,9.793103448275861
18,30,15,9.733333333333333
18,31,18,10.193548387096774
18,32,18,10.46875
18,33,19,10.93939393939394
18,34,18,11.235294117647058
19,0,0,0
19,1,0,0
19,2,0,0
19,3,0,2.5
19,4,0,2.5
19,5,0,3.0
19,6,0,3.0
19,7,0,3.5
19,8,0,3.5
19,9,0,4.4
19,10,0,4.833333333333333
19,11,0,4.833333333333333
19,12,0,4.833333333333333
19,13,0,5.571428571428571
19,14,0,6.25
19,15,0,6.25
19,16,0,7.0
19,17,4,7.0
19,18,7,6.583333333333333
19,19,12,7.3076923076923075
19,20,0,7.666666666666667
19,21,0,7.666666666666667
19,22,1,8.722222222222221
19,23,1,8.368421052631579
19,24,4,8.368421052631579
19,25,7,8.714285714285714
19,26,14,9.318181818181818
19,27,17,9.130434782608695
19,28,20,9.708333333333334
19,29,23,10.076923076923077
19,30,23,9.962962962962964
19,31,24,10.535714285714286
19,32,24,10.482758620689655
19,33,26,11.033333333333333
19,34,28,11.0
20,0,0,0
20,1,0,0
20,2,0,0
20,3,0,0
20,4,0,3.0
